"global_id","model_sec_id","river_id","old_pos_1based","new_pos_1based","reach_name","reach_start_node","reach_end_node","reach_section_count","source_section_name","distance_to_next","roughness","merged_reach_name","merged_local_idx_0based","sheet_name"
"149","7","14","1","1","sec14","7","14","6","sec009001","1478.0","0.025","sec14","0","7_sec14_0"
"150","142","14","2","2","sec14","7","14","6","sec009002","1667.0","0.025","sec14","1","142"
"151","143","14","3","3","sec14","7","14","6","sec009003","1885.0","0.025","sec14","2","143"
"152","144","14","4","4","sec14","7","14","6","sec009004","2110.0","0.025","sec14","3","144"
"153","145","14","5","5","sec14","7","14","6","sec009005","2027.0","0.025","sec14","4","145"
"154","14","14","6","6","sec14","7","14","6","sec009006","0.0","0.025","sec14","5","14"
"155","14","15","1","1","sec15","14","15","18","sec010001","1490.0","0.04","sec15","0","14_sec15_0"
"156","146","15","2","2","sec15","14","15","18","sec010002","1450.0","0.04","sec15","1","146"
"157","147","15","3","3","sec15","14","15","18","sec010003","1260.0","0.04","sec15","2","147"
"158","148","15","4","4","sec15","14","15","18","sec010004","1420.0","0.04","sec15","3","148"
"159","149","15","5","5","sec15","14","15","18","sec010005","1400.0","0.04","sec15","4","149"
"160","150","15","6","6","sec15","14","15","18","sec010006","1580.0","0.04","sec15","5","150"
"161","151","15","7","7","sec15","14","15","18","sec010007","1420.0","0.04","sec15","6","151"
"162","152","15","8","8","sec15","14","15","18","sec010008","1680.0","0.04","sec15","7","152"
"163","153","15","9","9","sec15","14","15","18","sec010009","1570.0","0.04","sec15","8","153"
"164","154","15","10","10","sec15","14","15","18","sec010010","1050.0","0.04","sec15","9","154"
"165","155","15","11","11","sec15","14","15","18","sec010011","1030.0","0.04","sec15","10","155"
"166","156","15","12","12","sec15","14","15","18","sec010012","1380.0","0.04","sec15","11","156"
"167","157","15","13","13","sec15","14","15","18","sec010013","2170.0","0.04","sec15","12","157"
"168","158","15","14","14","sec15","14","15","18","sec010014","1320.0","0.04","sec15","13","158"
"169","159","15","15","15","sec15","14","15","18","sec010015","1490.0","0.04","sec15","14","159"
"170","160","15","16","16","sec15","14","15","18","sec010016","1560.0","0.04","sec15","15","160"
"171","161","15","17","17","sec15","14","15","18","sec010017","1400.0","0.04","sec15","16","161"
"172","15","15","18","18","sec15","14","15","18","sec010018","0.0","0.04","sec15","17","15"
"173","14","16","1","1","sec16","14","16","2","sec018001","600.0","0.028","sec16","0","14_sec16_0"
"174","16","16","2","2","sec16","14","16","2","sec018002","0.0","0.028","sec16","1","16"
"175","16","17","1","1","sec17","16","17","20","sec011001","1410.0","0.027","sec17","0","16_sec17_0"
"176","162","17","2","2","sec17","16","17","20","sec011002","1300.0","0.027","sec17","1","162"
"177","163","17","3","3","sec17","16","17","20","sec011003","1230.0","0.027","sec17","2","163"
"178","164","17","4","4","sec17","16","17","20","sec011004","1070.0","0.027","sec17","3","164"
"179","165","17","5","5","sec17","16","17","20","sec011005","1150.0","0.027","sec17","4","165"
"180","166","17","6","6","sec17","16","17","20","sec011006","1080.0","0.027","sec17","5","166"
"181","167","17","7","7","sec17","16","17","20","sec011007","1530.0","0.027","sec17","6","167"
"182","168","17","8","8","sec17","16","17","20","sec011008","1000.0","0.027","sec17","7","168"
"183","169","17","9","9","sec17","16","17","20","sec011009","1520.0","0.027","sec17","8","169"
"184","170","17","10","10","sec17","16","17","20","sec011010","1200.0","0.027","sec17","9","170"
"185","171","17","11","11","sec17","16","17","20","sec011011","1030.0","0.027","sec17","10","171"
"186","172","17","12","12","sec17","16","17","20","sec011012","1860.0","0.027","sec17","11","172"
"187","173","17","13","13","sec17","16","17","20","sec011013","1270.0","0.027","sec17","12","173"
"188","174","17","14","14","sec17","16","17","20","sec011014","1920.0","0.027","sec17","13","174"
"189","175","17","15","15","sec17","16","17","20","sec011015","1340.0","0.027","sec17","14","175"
"190","176","17","16","16","sec17","16","17","20","sec011016","1540.0","0.027","sec17","15","176"
"191","177","17","17","17","sec17","16","17","20","sec011017","1010.0","0.027","sec17","16","177"
"192","178","17","18","18","sec17","16","17","20","sec011018","1180.0","0.027","sec17","17","178"
"193","179","17","19","19","sec17","16","17","20","sec011019","1530.0","0.027","sec17","18","179"
"194","17","17","20","20","sec17","16","17","20","sec011020","0.0","0.027","sec17","19","17"
"195","17","18","1","1","sec18","17","15","2","sec019001","1000.0","0.028","sec18","0","17_sec18_0"
"196","15","18","2","2","sec18","17","15","2","sec019002","0.0","0.028","sec18","1","15_sec18_1"
"197","15","19","1","1","sec19","15","18","26","sec012001","1060.0","0.029","sec19","0","15_sec19_0"
"198","180","19","2","2","sec19","15","18","26","sec012002","1170.0","0.029","sec19","1","180"
"199","181","19","3","3","sec19","15","18","26","sec012003","1090.0","0.029","sec19","2","181"
"200","182","19","4","4","sec19","15","18","26","sec012004","1530.0","0.029","sec19","3","182"
"201","183","19","5","5","sec19","15","18","26","sec012005","1520.0","0.029","sec19","4","183"
"202","184","19","6","6","sec19","15","18","26","sec012006","1550.0","0.029","sec19","5","184"
"203","185","19","7","7","sec19","15","18","26","sec012007","1470.0","0.029","sec19","6","185"
"204","186","19","8","8","sec19","15","18","26","sec012008","1330.0","0.029","sec19","7","186"
"205","187","19","9","9","sec19","15","18","26","sec012009","1110.0","0.029","sec19","8","187"
"206","188","19","10","10","sec19","15","18","26","sec012010","1910.0","0.029","sec19","9","188"
"207","189","19","11","11","sec19","15","18","26","sec012011","1240.0","0.029","sec19","10","189"
"208","190","19","12","12","sec19","15","18","26","sec012012","2020.0","0.029","sec19","11","190"
"209","191","19","13","13","sec19","15","18","26","sec012013","1810.0","0.029","sec19","12","191"
"210","192","19","14","14","sec19","15","18","26","sec012014","1780.0","0.029","sec19","13","192"
"211","193","19","15","15","sec19","15","18","26","sec012015","2020.0","0.029","sec19","14","193"
"212","194","19","16","16","sec19","15","18","26","sec012016","1970.0","0.029","sec19","15","194"
"213","195","19","17","17","sec19","15","18","26","sec012017","1650.0","0.029","sec19","16","195"
"214","196","19","18","18","sec19","15","18","26","sec012018","2010.0","0.029","sec19","17","196"
"215","197","19","19","19","sec19","15","18","26","sec012019","1580.0","0.029","sec19","18","197"
"216","198","19","20","20","sec19","15","18","26","sec012020","1790.0","0.029","sec19","19","198"
"217","199","19","21","21","sec19","15","18","26","sec012021","1760.0","0.029","sec19","20","199"
"218","200","19","22","22","sec19","15","18","26","sec012022","1960.0","0.029","sec19","21","200"
"219","201","19","23","23","sec19","15","18","26","sec012023","1870.0","0.029","sec19","22","201"
"220","202","19","24","24","sec19","15","18","26","sec012024","1850.0","0.029","sec19","23","202"
"221","203","19","25","25","sec19","15","18","26","sec012025","1440.0","0.029","sec19","24","203"
"222","18","19","26","26","sec19","15","18","26","sec012026","0.0","0.029","sec19","25","18"
"223","19","20","1","1","sec20","19","6","2","sec003001","1989.0","0.025","sec20","0","19"
"224","6","20","2","2","sec20","19","6","2","sec003002","0.0","0.025","sec20","1","6_sec20_1"
