"section_id","station_x","elevation_z"
"8","397.109000","29.971000"
"8","405.852000","30.994000"
"8","410.953000","33.069000"
"8","418.968000","34.092000"
"8","456.857000","34.881000"
"8","493.740000","35.995000"
"8","531.327000","38.982000"
"8","578.855000","43.179000"
"8","594.570000","43.175000"
"9","0.896000","39.177000"
"9","21.884000","36.446000"
"9","43.282000","37.067000"
"9","84.689000","37.722000"
"9","106.543000","37.541000"
"9","114.538000","37.833000"
"9","116.251000","38.681000"
"9","153.735000","36.037000"
"9","178.468000","35.678000"
"9","196.200000","35.173000"
"9","212.190000","33.010000"
"9","221.898000","30.029000"
"9","240.172000","29.942000"
"9","247.025000","33.040000"
"9","270.142000","33.765000"
"9","306.486000","35.000000"
"9","399.036000","35.926000"
"9","440.283000","36.924000"
"9","466.885000","43.182000"
"10","0.000000","38.142000"
"10","4.897000","38.128000"
"10","12.808000","37.020000"
"10","22.603000","34.991000"
"10","48.029000","33.207000"
"10","51.233000","33.018000"
"10","58.768000","30.951000"
"10","71.199000","31.026000"
"10","99.499000","30.941000"
"10","108.117000","33.018000"
"10","162.008000","33.066000"
"10","169.145000","33.206000"
"10","174.043000","32.999000"
"10","259.348000","34.380000"
"10","291.201000","35.028000"
"10","297.982000","37.396000"
"10","307.400000","39.452000"
"11","0.000000","37.973000"
"11","43.720000","36.384000"
"11","69.975000","36.087000"
"11","85.411000","36.005000"
"11","136.102000","33.070000"
"11","143.741000","30.055000"
"11","151.379000","29.698000"
"11","163.878000","29.678000"
"11","174.294000","29.976000"
"11","181.238000","32.951000"
"11","210.404000","33.480000"
"11","232.274000","33.945000"
"11","270.290000","34.618000"
"11","316.214000","34.617000"
"11","397.315000","34.412000"
"11","454.097000","34.410000"
"11","497.244000","35.927000"
"11","502.051000","34.101000"
"11","554.896000","37.042000"
"11","566.630000","38.954000"
"12","0.000000","37.699000"
"12","29.439000","35.981000"
"12","80.048000","35.000000"
"12","88.776000","34.950000"
"12","98.436000","29.992000"
"12","106.716000","29.000000"
"12","113.615000","29.020000"
"12","132.475000","30.983000"
"12","137.994000","33.026000"
"12","176.173000","34.038000"
"12","246.788000","34.381000"
"12","280.713000","34.600000"
"12","289.788000","34.672000"
"12","349.403000","36.793000"
"12","375.345000","38.220000"
"13","0.000000","38.291000"
"13","26.987000","36.133000"
"13","67.218000","35.000000"
"13","110.091000","33.972000"
"13","119.943000","33.765000"
"13","133.651000","33.126000"
"13","139.220000","30.064000"
"13","144.360000","29.876000"
"13","167.773000","29.849000"
"13","176.916000","30.007000"
"13","183.770000","31.003000"
"13","191.909000","32.995000"
"13","209.901000","34.028000"
"13","289.163000","34.592000"
"13","299.001000","34.723000"
"13","309.711000","36.133000"
"13","349.236000","38.389000"
"13","349.549000","38.407000"
"14","1.009000","38.334000"
"14","27.572000","34.698000"
"14","36.722000","34.086000"
"14","98.930000","34.383000"
"14","125.826000","34.565000"
"14","167.221000","34.816000"
"14","189.779000","35.027000"
"14","282.888000","35.004000"
"14","377.007000","34.000000"
"14","405.333000","31.950000"
"14","412.348000","30.205000"
"14","424.465000","28.735000"
"14","436.582000","29.056000"
"14","449.337000","28.965000"
"14","467.831000","35.004000"
"14","476.122000","38.633000"
"14","495.892000","38.380000"
"14","515.661000","38.403000"
"14","521.401000","38.382000"
"15","0.000000","38.025000"
"15","6.320000","37.002000"
"15","56.933000","34.873000"
"15","61.096000","34.981000"
"15","81.742000","32.134000"
"15","92.276000","28.758000"
"15","98.175000","28.023000"
"15","103.653000","28.023000"
"15","115.872000","31.996000"
"15","124.720000","33.006000"
"15","180.915000","33.500000"
"15","271.001000","33.852000"
"15","297.876000","33.988000"
"15","327.821000","38.526000"
"15","343.824000","38.526000"
"16","0.000000","39.013000"
"16","40.164000","34.000000"
"16","61.751000","33.209000"
"16","88.524000","31.908000"
"16","94.784000","29.002000"
"16","105.067000","28.025000"
"16","118.033000","28.025000"
"16","124.068000","28.401000"
"16","131.669000","31.958000"
"16","154.471000","36.192000"
"16","162.518000","38.046000"
"16","182.414000","38.021000"
"17","0.000000","38.517000"
"17","30.500000","33.029000"
"17","47.739000","32.006000"
"17","59.409000","29.042000"
"17","79.565000","29.000000"
"17","87.787000","30.086000"
"17","98.661000","30.942000"
"17","104.230000","32.048000"
"17","115.900000","33.050000"
"17","141.880000","33.409000"
"17","183.725000","34.000000"
"17","216.417000","38.066000"
"18","0.000000","38.352000"
"18","34.491000","35.551000"
"18","85.621000","35.490000"
"18","139.430000","35.879000"
"18","163.046000","35.493000"
"18","170.101000","35.931000"
"18","204.592000","35.463000"
"18","210.079000","34.733000"
"18","226.540000","35.025000"
